titulo,tipo,artista,fecha-lanzamiento,generos
Asi tocan los indios,Album,Gaiteros de San Jacinto,2012-10-25,"dub, cumbia"
Colegiala / Sueñas que te amo,Single,Los Ilusionistas,1977,"latin, cumbia"
"Masters of Chicha, Vol. 1",Album,Juaneco y su Combo,2008,"latin, cumbia"
Cumbias tabaco y ron,Album,Various Artists,1979,"latin, cumbia"
Lamento Calavera,Single,Meridian Brothers,2014,"latin, cumbia"
Exitos ...Exitos ...Exitos,Album,Chacalón y la Nueva Crema,1978,"latin, cumbia"
El rey y el peón,EP,Nkumba System,2019-05-31,"latin, cumbia"
Inmenso,Album,Amar Azul,1999,"latin, cumbia"
Salida de Emergencia,Album,Ruth Vazquez,2021-03-29,cumbia mexicana
De corazón a corazón,Album,La Solución de Jesús M. Campos,2020,"latin, cumbia"
Monsterra Peligro,Album,Monsterra,2021-04-01,"dub, cumbia"
Sin decir adiós,Album,Luz Mala,1995,"latin, cumbia"
Cumbia para ti / Mi problema,Single,Orquesta Los Impactos,1985,"latin, cumbia"
El retorno de Manzanita,Album,Manzanita y Su Conjunto,1982,"latin, cumbia"
La Única,Album,Gilda,1993,"latin, cumbia"
Nuestras mejores cumbias,Album,Alfredo Gutiérrez,1989,"latin, cumbia"
El rey y el peón,EP,Nkumba System,2019-05-31,"latin, cumbia"
Su Majestad la cumbia / Francisco el hombre,Single,Las Emes,1983,"latin, cumbia"
Colombia tierra hermana / La niña triste,Single,"Manuel González, Su Organo y Ritmos",1984,"latin, cumbia"
Crema Remixed,EP,Banana Sound Cartel,2019-02-01,"latin, cumbia"
Más cumbias,Album,Various Artists,1964,"latin, cumbia"
Luz y sombra,Album,Locarno,2015-11-07,"latin, cumbia"
De corazón a corazón,Album,La Solución de Jesús M. Campos,2020,"latin, cumbia"
Con amor,Album,Amar Azul,1993,"latin, cumbia"
100% Cumbia,Album,Amar Azul,2011,"latin, cumbia"
Monsterra Peligro,Album,Monsterra,2021-04-01,"dub, cumbia"
Tentadora,Album,Lía Crucet,1995,"latin, cumbia"
México y Colombia,Album,Sonora Dinamita,1981,"latin, cumbia"
Los alemanes no pueden bailar,EP,Grupo Pisse y las hermanas Martinez,2021-05-09,"punk, cumbia"
La Única,Album,Gilda,1993,"latin, cumbia"
Viva la vida,Album,Sebastian,1991,"latin, cumbia"
En vivo,Album,Carlitos Jiménez,1986,"latin, cumbia"
Sobrevolando América,Album,Ráfaga,1997,"latin, cumbia"
Embriágame suavecito,Album,Grupo Néctar,1996,"latin, cumbia"
Sonido Tumi,Album,Various Artists,2021,"latin, cumbia"
VelkomBak,Album,Gypsy Kumbia Orchestra,2020-05-15,"latin, cumbia"
"Historia de la cumbia en el siglo XX, volumen 3",Album,Various Artists,1998,"latin, cumbia"
"Nunca, nunca, nunca / El mecate",Single,Los Sonor’s,1970,"latin, cumbia"
Bailalo Duro,Album,Nkumba System,2020-11-13,"latin, cumbia"
Para vos basuura,Album,Mala Fama,2001,"latin, cumbia"
Sólo tú,Album,La Gran Magia Tropical,1999,"latin, cumbia"
Lo máximo,Album,Pastor López,1982,"latin, cumbia"
Recuerdo De Los Morochucos,Album,Los Morochucos,1964,"latin, cumbia"
Los reyes de la cumbia,Album,Grupo Néctar,1997,"latin, cumbia"
El Estilo Elegante Del Poderoso...,Album,Grupo Naranja,1977,"latin, cumbia"
Funky Rob Way,Album,Rob,2019-03-12,"afrobeat, cumbia"
El Faraon de la Chicha Vol.1,Album,Chacalón y la Nueva Crema,2005-06,"latin, cumbia"
Recuerdos Inolvidables Vol.2,Album,Chacalón y la Nueva Crema,2007,"latin, cumbia"
"Vol. 5 Tu Vida, Mi Vida",Album,Chacalón y la Nueva Crema,1985,"latin, cumbia"
Destino,Album,Joe Vasconcellos,2007,"latin, cumbia"
Grandes éxitos de Lisandro Meza,Album,Lisandro Meza,1984,"latin, cumbia"
The Garabato Sessions (Remixes),EP,Totó la Momposina,2016-12-02,"cumbia, porro"
Fuego,EP,Totó la Momposina,2018-09-07,"cumbia, porro"
Éxitos,Album,Los Destellos,,"latin, cumbia"
Hasta la eternidad,Album,Grupo Green,1999,"latin, cumbia"
Te metiste en mi corazón,Album,Antonio Ríos,2011,"latin, cumbia"
Para todo el mundo,Album,Los Destellos,1980,"latin, cumbia"
